name,woeid
Africa/Abidjan,28350681
Africa/Accra,28350682
Africa/Addis_Ababa,28350683
Africa/Algiers,28350684
Africa/Asmara,28350685
Africa/Bamako,28350686
Africa/Bangui,28350687
Africa/Banjul,28350688
Africa/Bissau,28350689
Africa/Blantyre,28350690
Africa/Brazzaville,28350691
Africa/Bujumbura,28350692
Africa/Cairo,28350693
Africa/Casablanca,28350694
Africa/Conakry,28350695
Africa/Dakar,28350696
Africa/Dar_es_Salaam,28350697
Africa/Djibouti,28350698
Africa/Douala,28350699
Africa/El_Aaiun,28350700
Africa/Freetown,28350701
Africa/Gaborone,28350702
Africa/Harare,28350703
Africa/Johannesburg,28350704
Africa/Kampala,28350705
Africa/Khartoum,28350706
Africa/Kigali,28350707
Africa/Kinshasa,28350708
Africa/Lagos,28350709
Africa/Libreville,28350710
Africa/Lome,28350711
Africa/Luanda,28350712
Africa/Lubumbashi,28350713
Africa/Lusaka,28350714
Africa/Malabo,28350715
Africa/Maputo,28350716
Africa/Maseru,28350717
Africa/Mbabane,28350718
Africa/Mogadishu,28350719
Africa/Monrovia,28350720
Africa/Nairobi,28350721
Africa/Ndjamena,28350722
Africa/Niamey,28350723
Africa/Nouakchott,28350724
Africa/Ouagadougou,28350725
Africa/Porto-Novo,28350726
Africa/Sao_Tome,28350727
Africa/Tripoli,28350728
Africa/Tunis,28350729
Africa/Windhoek,28350730
America/Adak,28350731
America/Anguilla,28350733
America/Antigua,28350734
America/Aruba,28350736
America/Asuncion,28350737
America/Barbados,28350738
America/Belize,28350740
America/Bogota,28350741
America/Caracas,28350743
America/Cayenne,28350744
America/Cayman,28350745
America/Costa_Rica,28350748
America/Curacao,28350749
America/Danmarkshavn,28350750
America/Dawson_Creek,28350751
America/Dominica,28350753
America/El_Salvador,28350755
America/Godthab,28350756
America/Grand_Turk,28350758
America/Grenada,28350759
America/Guadeloupe,28350760
America/Guatemala,28350761
America/Guayaquil,28350762
America/Guyana,28350763
America/Havana,28350765
America/Hermosillo,28350766
America/Jamaica,28350767
America/La_Paz,28350768
America/Lima,28350769
America/Managua,28350771
America/Martinique,28350773
America/Mazatlan,28350774
America/Miquelon,28350776
America/Montevideo,28350777
America/Montserrat,28350778
America/Nassau,28350779
America/Noronha,28350781
America/Panama,28350782
America/Paramaribo,28350783
America/Port-au-Prince,28350785
America/Port_of_Spain,28350786
America/Puerto_Rico,28350787
America/Santiago,28350790
America/Santo_Domingo,28350791
America/Sao_Paulo,28350792
America/Scoresbysund,28350793
America/St_Kitts,28350795
America/St_Lucia,28350796
America/St_Thomas,28350797
America/St_Vincent,28350798
America/Tegucigalpa,28350799
America/Thule,28350800
America/Tijuana,28350801
America/Tortola,28350803
Asia/Aden,28350806
Asia/Amman,28350808
Asia/Ashgabat,28350810
Asia/Baghdad,28350811
Asia/Bahrain,28350812
Asia/Baku,28350813
Asia/Bangkok,28350814
Asia/Beirut,28350815
Asia/Bishkek,28350816
Asia/Brunei,28350817
Asia/Kolkata,28350818
Asia/Choibalsan,28350819
Asia/Colombo,28350820
Asia/Damascus,28350821
Asia/Dhaka,28350822
Asia/Dili,28350823
Asia/Dubai,28350824
Asia/Dushanbe,28350825
Asia/Gaza,28350826
Asia/Hong_Kong,28350827
Asia/Hovd,28350828
Asia/Irkutsk,28350829
Asia/Jakarta,28350830
Asia/Jayapura,28350831
Asia/Jerusalem,28350832
Asia/Kabul,28350833
Asia/Karachi,28350835
Asia/Kathmandu,28350836
Asia/Krasnoyarsk,28350837
Asia/Kuwait,28350839
Asia/Macau,28350840
Asia/Magadan,28350841
Asia/Makassar,28350842
Asia/Manila,28350843
Asia/Muscat,28350844
Asia/Nicosia,28350845
Asia/Phnom_Penh,28350847
Asia/Pyongyang,28350848
Asia/Qatar,28350849
Asia/Rangoon,28350850
Asia/Riyadh,28350851
Asia/Ho_Chi_Minh,28350852
Asia/Seoul,28350854
Asia/Singapore,28350856
Asia/Taipei,28350857
Asia/Tbilisi,28350858
Asia/Tehran,28350859
Asia/Thimphu,28350860
Asia/Tokyo,28350861
Asia/Ulaanbaatar,28350862
Asia/Vientiane,28350863
Asia/Yakutsk,28350865
Asia/Yekaterinburg,28350866
Asia/Yerevan,28350867
Atlantic/Azores,28350868
Atlantic/Bermuda,28350869
Atlantic/Canary,28350870
Atlantic/Cape_Verde,28350871
Atlantic/Faroe,28350872
Atlantic/Reykjavik,28350873
Atlantic/South_Georgia,28350874
Atlantic/Stanley,28350875
Atlantic/St_Helena,28350876
Australia/Adelaide,28350877
Australia/Brisbane,28350878
Australia/Darwin,28350879
Australia/Hobart,28350880
Australia/Lindeman,28350881
Australia/Lord_Howe,28350882
Australia/Melbourne,28350883
Australia/Perth,28350884
Australia/Sydney,28350885
Europe/Amsterdam,28350886
Europe/Andorra,28350887
Europe/Athens,28350888
Europe/Belgrade,28350889
Europe/Berlin,28350890
Europe/Brussels,28350891
Europe/Bucharest,28350892
Europe/Budapest,28350893
Europe/Chisinau,28350894
Europe/Copenhagen,28350895
Europe/Dublin,28350896
Europe/Gibraltar,28350897
Europe/Helsinki,28350898
Europe/Istanbul,28350899
Europe/Kaliningrad,28350900
Europe/London,28350903
Europe/Luxembourg,28350904
Europe/Malta,28350906
Europe/Minsk,28350907
Europe/Monaco,28350908
Europe/Oslo,28350910
Europe/Paris,28350911
Europe/Prague,28350912
Europe/Riga,28350913
Europe/Rome,28350914
Europe/Samara,28350915
Europe/Sofia,28350916
Europe/Stockholm,28350917
Europe/Tallinn,28350918
Europe/Tirane,28350919
Europe/Vaduz,28350920
Europe/Vienna,28350921
Europe/Vilnius,28350922
Europe/Warsaw,28350923
Europe/Zurich,28350924
Indian/Antananarivo,28350925
Indian/Chagos,28350926
Indian/Christmas,28350927
Indian/Cocos,28350928
Indian/Comoro,28350929
Indian/Kerguelen,28350930
Indian/Mahe,28350931
Indian/Maldives,28350932
Indian/Mauritius,28350933
Indian/Mayotte,28350934
Indian/Reunion,28350935
Pacific/Apia,28350936
Pacific/Auckland,28350937
Pacific/Chatham,28350938
Pacific/Easter,28350939
Pacific/Efate,28350940
Pacific/Enderbury,28350941
Pacific/Fakaofo,28350942
Pacific/Fiji,28350943
Pacific/Funafuti,28350944
Pacific/Galapagos,28350945
Pacific/Gambier,28350946
Pacific/Guadalcanal,28350947
Pacific/Guam,28350948
Pacific/Honolulu,28350949
Pacific/Johnston,28350950
Pacific/Kiritimati,28350951
Pacific/Marquesas,28350953
Pacific/Midway,28350954
Pacific/Nauru,28350955
Pacific/Niue,28350956
Pacific/Norfolk,28350957
Pacific/Noumea,28350958
Pacific/Pago_Pago,28350959
Pacific/Palau,28350960
Pacific/Pitcairn,28350961
Pacific/Ponape,28350962
Pacific/Port_Moresby,28350963
Pacific/Rarotonga,28350964
Pacific/Saipan,28350965
Pacific/Tahiti,28350966
Pacific/Tarawa,28350967
Pacific/Tongatapu,28350968
Pacific/Truk,28350969
Pacific/Wake,28350970
Pacific/Wallis,28350971
Australia/Broken_Hill,56043537
Australia/Eucla,56043538
Australia/Currie,56043539
America/Argentina/Catamarca,56043540
America/Argentina/Cordoba,56043541
America/Argentina/Jujuy,56043542
America/Argentina/La_Rioja,56043543
America/Argentina/Mendoza,56043544
America/Argentina/Rio_Gallegos,56043545
America/Argentina/Salta,56043546
America/Argentina/San_Juan,56043547
America/Argentina/San_Luis,56043548
America/Argentina/Tucuman,56043549
America/Argentina/Ushuaia,56043550
America/Argentina/Buenos_Aires,56043551
America/Belem,56043569
America/Fortaleza,56043570
America/Araguaina,56043571
America/Maceio,56043572
America/Bahia,56043573
America/Campo_Grande,56043574
America/Cuiaba,56043575
America/Santarem,56043576
America/Porto_Velho,56043577
America/Rio_Branco,56043578
America/Boa_Vista,56043579
America/Eirunepe,56043580
America/Manaus,56043581
America/Recife,56043582
Pacific/Kosrae,56043583
Asia/Pontianak,56043584
Asia/Aqtobe,56043585
Asia/Qyzylorda,56043586
Asia/Aqtau,56043587
Asia/Oral,56043588
Asia/Almaty,56043589
Pacific/Majuro,56043590
Pacific/Kwajalein,56043591
Asia/Chongqing,56043593
Asia/Harbin,56043594
Asia/Kashgar,56043595
Asia/Urumqi,56043596
Asia/Shanghai,56043597
America/Chihuahua,56043598
America/Cancun,56043599
America/Merida,56043600
America/Monterrey,56043601
America/Mexico_City,56043602
Asia/Kuala_Lumpur,56043603
Asia/Kuching,56043604
Europe/Lisbon,56043605
Atlantic/Madeira,56043606
Asia/Novosibirsk,56043607
Asia/Omsk,56043608
Asia/Vladivostok,56043609
Asia/Sakhalin,56043610
Asia/Anadyr,56043611
Asia/Kamchatka,56043612
Europe/Volgograd,56043613
Europe/Moscow,56043614
Europe/Simferopol,56043615
Europe/Zaporozhye,56043616
Europe/Uzhgorod,56043617
Europe/Kiev,56043618
Asia/Tashkent,56043642
Asia/Samarkand,56043643
Europe/Madrid,56043644
Africa/Ceuta,56043645
America/Kentucky/Monticello,56043646
America/Kentucky/Louisville,56043647
America/New_York,56043648
America/Indiana/Vincennes,56043649
America/Indiana/Knox,56043650
America/Indiana/Winamac,56043651
America/Indiana/Marengo,56043652
America/Indiana/Vevay,56043653
America/Indiana/Tell_City,56043654
America/Indiana/Petersburg,56043655
America/Indiana/Indianapolis,56043656
America/Menominee,56043657
America/Detroit,56043658
America/North_Dakota/Center,56043659
America/North_Dakota/New_Salem,56043660
America/Chicago,56043661
America/Boise,56043662
America/Los_Angeles,56043663
America/Shiprock,56043664
America/Denver,56043665
America/Phoenix,56043666
America/Juneau,56043667
America/Yakutat,56043668
America/Anchorage,56043669
America/Nome,56043670
America/Goose_Bay,56043673
America/Winnipeg,56043674
America/Blanc-Sablon,56043675
America/Cambridge_Bay,56043676
America/Dawson,56043677
America/Whitehorse,56043678
America/Montreal,56043679
America/Atikokan,56043680
America/Resolute,56043681
America/St_Johns,56043682
America/Glace_Bay,56043683
America/Moncton,56043684
America/Halifax,56043685
America/Swift_Current,56043686
America/Regina,56043687
America/Rainy_River,56043688
America/Edmonton,56043689
America/Vancouver,56043690
America/Yellowknife,56043691
America/Inuvik,56043692
America/Iqaluit,56043693
America/Pangnirtung,56043694
America/Nipigon,56043695
America/Thunder_Bay,56043696
America/Toronto,56043697
America/Rankin_Inlet,56043698
